"filename", "language", "TypeScript JSX", "TypeScript", "XML", "comment", "blank", "total"
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Login/LoginPresentational.tsx", "TypeScript JSX", 200, 0, 0, 0, 14, 214
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Main/MainContainer.tsx", "TypeScript JSX", 63, 0, 0, 1, 9, 73
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Main/MainPresentational.tsx", "TypeScript JSX", 64, 0, 0, 0, 10, 74
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Messanger.tsx", "TypeScript JSX", 35, 0, 0, 0, 5, 40
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/NotFound.tsx", "TypeScript JSX", 6, 0, 0, 0, 1, 7
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/PasswordReset.tsx", "TypeScript JSX", 133, 0, 0, 6, 12, 151
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/PasswordResetRequest.tsx", "TypeScript JSX", 127, 0, 0, 0, 11, 138
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Profile/ProfileContainer.tsx", "TypeScript JSX", 72, 0, 0, 0, 9, 81
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Profile/ProfilePresentational.tsx", "TypeScript JSX", 151, 0, 0, 32, 13, 196
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Registration/RegistrationContainer.tsx", "TypeScript JSX", 73, 0, 0, 0, 7, 80
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Registration/RegistrationPresentational.tsx", "TypeScript JSX", 189, 0, 0, 0, 6, 195
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/socket.tsx", "TypeScript JSX", 6, 0, 0, 0, 2, 8
"Total", "-", 6511, 4, 91, 144, 754, 7504
