"filename", "language", "JavaScript", "Pug", "JSON", "TypeScript JSX", "TypeScript", "XML", "comment", "blank", "total"
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/messanger/useSendFile.tsx", "TypeScript JSX", 0, 0, 0, -48, 0, 0, 0, -5, -53
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/profile/useGetPosts.tsx", "TypeScript JSX", 0, 0, 0, -31, 0, 0, 0, -3, -34
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/profile/useGetProfileInfo.tsx", "TypeScript JSX", 0, 0, 0, -24, 0, 0, 0, -4, -28
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/useFetch.tsx", "TypeScript JSX", 0, 0, 0, -36, 0, 0, 0, -11, -47
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/users/useGetUsers.tsx", "TypeScript JSX", 0, 0, 0, -64, 0, 0, 0, -8, -72
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/useDarkMode.tsx", "TypeScript JSX", 0, 0, 0, -21, 0, 0, 0, -6, -27
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/useOutsideAlerter.tsx", "TypeScript JSX", 0, 0, 0, -14, 0, 0, 0, -2, -16
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/useResize.tsx", "TypeScript JSX", 0, 0, 0, -12, 0, 0, 0, -2, -14
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/useSocketSetup.tsx", "TypeScript JSX", 0, 0, 0, -73, 0, 0, -1, -10, -84
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/index.tsx", "TypeScript JSX", 0, 0, 0, -25, 0, 0, -2, -3, -30
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/errors/Errors.tsx", "TypeScript JSX", 0, 0, 0, -3, 0, 0, 0, 0, -3
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/likes/like.tsx", "TypeScript JSX", 0, 0, 0, -25, 0, 0, -3, -4, -32
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/main/generateMasonryGrid.tsx", "TypeScript JSX", 0, 0, 0, -52, 0, 0, 0, -4, -56
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/messanger/installFile.tsx", "TypeScript JSX", 0, 0, 0, -36, 0, 0, 0, -1, -37
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/messanger/sendMessage.tsx", "TypeScript JSX", 0, 0, 0, -31, 0, 0, 0, -8, -39
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/messanger/useCreateOrGetConversation.tsx", "TypeScript JSX", 0, 0, 0, -29, 0, 0, -3, -1, -33
